week,competitors_spendings,seasonality,fb_page_daily_viral_reach,holidays_,sms_resips,email,pandemia_search,vk_reach,price_ratio_,pr_coverage,app_clicks,ots,fb_page_daily_paid_reach,push,price_index_macroeconomics,price_index_sbermarket,rebranding_contin,order_app
2019-01,12849226.0,1.0089708,2219,6.0,0.0,0,,1965,1.49921217442778,,1098,,484530.0,0.0,101.36,151.960146,0,7620.6
2019-02,12849226.0,0.7458461,1841,2.0,0.0,0,,1772,1.57616222375691,,2025,,523417.0,0.0,101.36,159.759803,0,6505.2
2019-03,12849226.0,0.8526867,3103,0.0,0.0,0,,1862,1.57823205406472,,2921,,28250.0,0.0,101.36,159.969601,0,7764.9
2019-04,12849226.0,1.0675961,1838,0.0,0.0,0,,44102,1.57929250197317,,19691,,238273.0,0.0,101.36,160.077088,0,9254.7
2019-05,12849226.0,1.1279074,1541,0.0,0.0,0,,93440,1.55270037664783,,10472,,101968.0,0.0,100.89,156.651941,0,9133.8
2019-06,20353327.5,1.1127577,1040,0.0,0.0,0,,5249,1.57509610466845,,23350,,40441.0,0.0,100.89,158.911446,0,6531.1230894
2019-07,20353327.5,1.2466993,678,0.0,0.0,0,,1968,1.65054256120527,,25658,,72708.0,0.0,100.89,166.523239,0,12486.1479561
2019-08,20353327.5,1.2222694,1253,1.0,0.0,0,,2110,1.58176540786996,,12321,,89044.0,0.0,100.89,159.584312,0,9023.7400188
2019-09,20353327.5,1.0474543,6138,0.0,0.0,0,,35936,1.54591478572139,,14045,,154816.0,0.0,100.57,155.47265,0,6532.6851213
2019-10,19955847.5,1.1277836,1439,1.0,0.0,0,,100804,1.64227149249279,,23314,,335833.0,0.0,100.57,165.163244,0,11388.9153885
2019-11,19955847.5,1.0870438,2353,0.0,0.0,0,,16991,1.75468166451228,,14744,,127923.0,0.0,100.57,176.468335,0,11411.5735188
2019-12,19955847.5,1.236907,1218,0.0,0.0,0,,8001,1.69540033807298,,13642,,181261.0,0.0,100.57,170.506412,0,13279.810752
2019-13,19955847.5,1.165207,3037,0.0,0.0,0,,3086,1.6685377746843,,232597,,52261.0,0.0,100.57,167.804844,0,11967.3773622
2019-14,16595278.0,1.2957819,2048,0.0,0.0,0,,77956,1.65196076050169,,29568,,308616.0,0.0,100.46,165.955978,0,14521.8151533
2019-15,16595278.0,1.3135023,1732,0.0,0.0,42900,,4495,1.58398786581724,,52597,,120277.0,0.0,100.46,159.127421,0,15676.7413296
2019-16,16595278.0,1.1216894,738,0.0,0.0,4468,,170778,1.70802403941867,,60759,,84103.0,0.0,100.46,171.588095,0,12242.1887016
2019-17,16595278.0,1.147554,1034,0.0,0.0,5837,,7557,2.00448251045192,,21966,,48652.0,0.0,100.46,201.370313,0,9442.1621931
2019-18,16595278.0,0.9522914,205,5.0,0.0,69293,,3974,2.07637531110005,,9576,,6317.0,0.0,100.45,208.5719,0,4335.1288851
2019-19,18629262.5,0.8445809,1193,4.0,0.0,148165,,3884,1.69623280238925,,13320,,20012.0,0.0,100.45,170.386585,0,4712.0873397
2019-20,18629262.5,0.8648499,8666,0.0,0.0,68375,,4694,1.9484499950224,,12533,,57422.0,10738.0,100.45,195.721802,0,7494.9014634
2019-21,18629262.5,1.0802566,781,0.0,0.0,136706,,4605,1.81062589347934,,9419,,63262.0,16977.0,100.45,181.877371,0,8396.377626
2019-22,18629262.5,1.0055325,325,0.0,0.0,153700,,38294,1.81138191050779,,8040,,168891.0,19874.0,99.45,180.141931,0,5695.3616499
2019-23,17580045.0,0.9177667,558,0.0,0.0,134945,,33559,1.72598329813977,,12372,,151627.0,0.0,99.45,171.649039,0,14274.4351932
2019-24,17580045.0,0.9700028,4170,1.0,0.0,68231,,8863,1.77352654600302,,7891,,44720.0,20753.0,99.45,176.377215,0,13354.2250218
2019-25,17580045.0,0.8894946,749,0.0,0.0,89567,,90464,1.78977119155354,,7882,,220034.0,2.0,99.45,177.992745,0,12012.8078928
2019-26,17580045.0,0.8116316,246,0.0,0.0,89911,,32515,1.8198272197084,,5933,,3527.0,12746.0,99.45,180.981817,0,13033.0471752
2019-27,14210770.0,0.7970049,246,0.0,0.0,3569,,16994,1.8206443162436,,2171,,,553.0,99.67,181.463619,0,11959.0266822
2019-28,14210770.0,0.7684879,246,0.0,0.0,69837,,8525,1.82458459917729,,4039,,,12841.0,99.67,181.856347,0,10397.5396941
2019-29,14210770.0,0.7478999,538,0.0,0.0,39983,,7576,1.73079036821511,,6992,,26673.0,1278.0,99.67,172.507876,0,10971.4120308
2019-30,14210770.0,0.7778728,864,0.0,0.0,78196,,71920,1.70247570984248,2800.0,10465,,478375.0,14063.0,99.67,169.685754,0,11853.262083
2019-31,19372722.5,0.732297,1083,0.0,0.0,21549,,16995,1.84210355663332,200000.0,9229,,120298.0,29297.0,98.97,182.312989,0,10205.8405956
2019-32,19372722.5,0.7394032,316,0.0,0.0,77790,,9294,1.76863740527433,,6085,,91482.0,28887.0,98.97,175.042044,0,19226.5583133
2019-33,19372722.5,0.7573919,473,0.0,27394.0,44289,,11389,1.7946857027382,12700.0,5135,,212615.0,668.0,98.97,177.620044,0,19283.5610565
2019-34,19372722.5,0.8006554,673,0.0,18676.0,80983,,110461,1.78990106092755,,8440,,1064706.0,30794.0,98.97,177.146508,0,20844.5036709
